timestamp,source_ip,destination_ip,protocol,source_port,destination_port
2026-08-21 06:52:45,10.0.2.15,4.150.223.105,TCP,58532,443
2026-08-21 06:52:45,4.150.223.105,10.0.2.15,TCP,443,58532
2026-08-21 06:52:45,10.0.2.15,4.150.223.105,TCP,58532,443
2026-08-21 06:52:45,4.150.223.105,10.0.2.15,TCP,443,58532
2026-08-21 06:52:45,4.150.223.105,10.0.2.15,TCP,443,58532
2026-08-21 06:52:45,4.150.223.105,10.0.2.15,TCP,443,58532
2026-08-21 06:52:45,4.150.223.105,10.0.2.15,TCP,443,58532
2026-08-21 06:52:45,4.150.223.105,10.0.2.15,TCP,443,58532
2026-08-21 06:52:46,4.150.223.105,10.0.2.15,TCP,443,58532
2026-08-21 06:52:46,10.0.2.15,4.150.223.105,TCP,58532,443
